LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
18001,1959,24,8775,Adams
18003,21054,342,116465,Allen
18005,3915,66,27955,Bartholomew
18007,465,3,3190,Benton
18009,673,17,3997,Blackford
18011,2897,56,22498,Boone
18013,434,6,3190,Brown
18015,839,13,5350,Carroll
18017,3300,32,14229,Cass
18019,5854,87,38530,Clark
18021,1431,26,8150,Clay
18023,2127,25,13517,Clinton
18025,372,2,2897,Crawford
18027,1799,51,8629,Daviess
18029,2588,33,15080,Dearborn
18031,1496,46,8055,Decatur
18033,2157,38,11483,De Kalb
18035,5659,108,35906,Delaware
18037,2848,34,12902,Dubois
18039,19020,249,81311,Elkhart
18041,1679,39,8141,Fayette
18043,3670,80,25192,Floyd
18045,998,8,5301,Fountain
18047,816,28,4242,Franklin
18049,992,19,6227,Fulton
18051,2265,33,9920,Gibson
18053,3345,54,20643,Grant
18055,1236,54,9093,Greene
18057,15894,184,125483,Hamilton
18059,3304,65,27783,Hancock
18061,1697,26,12141,Harrison
18063,7565,165,49085,Hendricks
18065,2875,41,15580,Henry
18067,4305,80,29157,Howard
18069,1582,12,12311,Huntington
18071,2718,38,13022,Jackson
18073,1743,17,10510,Jasper
18075,1188,17,5367,Jay
18077,1411,19,10372,Jefferson
18079,1096,17,6804,Jennings
18081,7969,178,52434,Johnson
18083,2175,24,9877,Knox
18085,5214,49,26366,Kosciusko
18087,1625,34,5844,Lagrange
18089,31027,490,168054,Lake
18091,5377,106,38029,La Porte
18093,2101,52,11997,Lawrence
18095,5960,126,38203,Madison
18097,49899,902,335090,Marion
18099,3472,52,18173,Marshall
18101,413,6,2510,Martin
18103,1973,18,12145,Miami
18105,6139,55,64682,Monroe
18107,1780,29,11473,Montgomery
18109,2674,46,19060,Morgan
18111,640,15,3109,Newton
18113,2981,50,15692,Noble
18115,254,7,1764,Ohio
18117,801,28,5195,Orange
18119,744,11,7231,Owen
18121,749,6,4676,Parke
18123,903,21,5927,Perry
18125,610,21,3225,Pike
18127,9512,97,54495,Porter
18129,1384,22,7402,Posey
18131,517,21,3562,Pulaski
18133,1522,31,10882,Putnam
18135,1457,25,7552,Randolph
18137,1713,25,9414,Ripley
18139,668,8,5112,Rush
18141,19435,249,121649,St. Joseph
18143,1340,27,8281,Scott
18145,2235,62,12824,Shelby
18147,991,8,5322,Spencer
18149,1076,28,6317,Starke
18151,1723,16,9014,Steuben
18153,1160,18,6405,Sullivan
18155,282,5,2529,Switzerland
18157,10410,36,80863,Tippecanoe
18159,689,27,4166,Tipton
18161,312,2,2311,Union
18163,11174,138,70477,Vanderburgh
18165,770,13,4925,Vermillion
18167,6855,108,39166,Vigo
18169,2018,25,10501,Wabash
18171,301,3,1675,Warren
18173,3727,76,22317,Warrick
18175,916,9,6256,Washington
18177,3702,96,23859,Wayne
18179,1471,36,7940,Wells
18181,1562,24,8603,White
18183,1661,17,9124,Whitley
